id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_cuaca_ekstrem,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2,KEJADIAN,2012
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27,KEJADIAN,2012
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,23,KEJADIAN,2012
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3,KEJADIAN,2012
5,32,JAWA BARAT,3205,KABUPATEN GARUT,28,KEJADIAN,2012
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2012
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,KEJADIAN,2012
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2,KEJADIAN,2012
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2012
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,KEJADIAN,2012
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2,KEJADIAN,2012
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,KEJADIAN,2012
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,KEJADIAN,2012
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2,KEJADIAN,2012
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2012
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2012
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,KEJADIAN,2012
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2012
19,32,JAWA BARAT,3271,KOTA BOGOR,1,KEJADIAN,2012
20,32,JAWA BARAT,3272,KOTA SUKABUMI,35,KEJADIAN,2012
21,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2012
22,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2012
23,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2012
24,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2012
25,32,JAWA BARAT,3277,KOTA CIMAHI,1,KEJADIAN,2012
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KEJADIAN,2012
27,32,JAWA BARAT,3279,KOTA BANJAR,14,KEJADIAN,2012
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,13,KEJADIAN,2013
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,KEJADIAN,2013
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9,KEJADIAN,2013
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5,KEJADIAN,2013
32,32,JAWA BARAT,3205,KABUPATEN GARUT,15,KEJADIAN,2013
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27,KEJADIAN,2013
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17,KEJADIAN,2013
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,KEJADIAN,2013
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,KEJADIAN,2013
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4,KEJADIAN,2013
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2013
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2013
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,KEJADIAN,2013
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2013
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,KEJADIAN,2013
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2013
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,KEJADIAN,2013
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2013
46,32,JAWA BARAT,3271,KOTA BOGOR,1,KEJADIAN,2013
47,32,JAWA BARAT,3272,KOTA SUKABUMI,3,KEJADIAN,2013
48,32,JAWA BARAT,3273,KOTA BANDUNG,1,KEJADIAN,2013
49,32,JAWA BARAT,3274,KOTA CIREBON,0,KEJADIAN,2013
50,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2013
51,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2013
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2013
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,KEJADIAN,2013
54,32,JAWA BARAT,3279,KOTA BANJAR,5,KEJADIAN,2013
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,16,KEJADIAN,2014
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8,KEJADIAN,2014
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,KEJADIAN,2014
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,KEJADIAN,2014
59,32,JAWA BARAT,3205,KABUPATEN GARUT,13,KEJADIAN,2014
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,KEJADIAN,2014
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,28,KEJADIAN,2014
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9,KEJADIAN,2014
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,KEJADIAN,2014
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,KEJADIAN,2014
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2014
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,KEJADIAN,2014
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2,KEJADIAN,2014
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,KEJADIAN,2014
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,KEJADIAN,2014
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2014
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,KEJADIAN,2014
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2014
73,32,JAWA BARAT,3271,KOTA BOGOR,0,KEJADIAN,2014
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1,KEJADIAN,2014
75,32,JAWA BARAT,3273,KOTA BANDUNG,3,KEJADIAN,2014
76,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2014
77,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2014
78,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2014
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2014
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,KEJADIAN,2014
81,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2014
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,10,KEJADIAN,2015
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16,KEJADIAN,2015
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2,KEJADIAN,2015
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,KEJADIAN,2015
86,32,JAWA BARAT,3205,KABUPATEN GARUT,3,KEJADIAN,2015
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,KEJADIAN,2015
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8,KEJADIAN,2015
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,KEJADIAN,2015
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KEJADIAN,2015
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,KEJADIAN,2015
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,KEJADIAN,2015
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2015
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2015
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2015
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,KEJADIAN,2015
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,KEJADIAN,2015
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,KEJADIAN,2015
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,19,KEJADIAN,2015
100,32,JAWA BARAT,3271,KOTA BOGOR,3,KEJADIAN,2015
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2015
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2015
103,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2015
104,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2015
105,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2015
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,KEJADIAN,2015
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,KEJADIAN,2015
108,32,JAWA BARAT,3279,KOTA BANJAR,3,KEJADIAN,2015
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,32,KEJADIAN,2016
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16,KEJADIAN,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,KEJADIAN,2016
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,KEJADIAN,2016
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1,KEJADIAN,2016
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10,KEJADIAN,2016
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18,KEJADIAN,2016
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12,KEJADIAN,2016
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KEJADIAN,2016
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,KEJADIAN,2016
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2,KEJADIAN,2016
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2016
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,KEJADIAN,2016
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1,KEJADIAN,2016
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12,KEJADIAN,2016
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,KEJADIAN,2016
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,KEJADIAN,2016
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,24,KEJADIAN,2016
127,32,JAWA BARAT,3271,KOTA BOGOR,6,KEJADIAN,2016
128,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2016
129,32,JAWA BARAT,3273,KOTA BANDUNG,3,KEJADIAN,2016
130,32,JAWA BARAT,3274,KOTA CIREBON,4,KEJADIAN,2016
131,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2016
132,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2016
133,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2016
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13,KEJADIAN,2016
135,32,JAWA BARAT,3279,KOTA BANJAR,2,KEJADIAN,2016
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,39,KEJADIAN,2017
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,43,KEJADIAN,2017
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2,KEJADIAN,2017
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,KEJADIAN,2017
140,32,JAWA BARAT,3205,KABUPATEN GARUT,6,KEJADIAN,2017
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,KEJADIAN,2017
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,KEJADIAN,2017
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10,KEJADIAN,2017
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,KEJADIAN,2017
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,KEJADIAN,2017
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11,KEJADIAN,2017
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,KEJADIAN,2017
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,KEJADIAN,2017
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2017
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13,KEJADIAN,2017
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,KEJADIAN,2017
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,KEJADIAN,2017
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,KEJADIAN,2017
154,32,JAWA BARAT,3271,KOTA BOGOR,56,KEJADIAN,2017
155,32,JAWA BARAT,3272,KOTA SUKABUMI,1,KEJADIAN,2017
156,32,JAWA BARAT,3273,KOTA BANDUNG,8,KEJADIAN,2017
157,32,JAWA BARAT,3274,KOTA CIREBON,3,KEJADIAN,2017
158,32,JAWA BARAT,3275,KOTA BEKASI,2,KEJADIAN,2017
159,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2017
160,32,JAWA BARAT,3277,KOTA CIMAHI,3,KEJADIAN,2017
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27,KEJADIAN,2017
162,32,JAWA BARAT,3279,KOTA BANJAR,9,KEJADIAN,2017
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,25,KEJADIAN,2018
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29,KEJADIAN,2018
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,KEJADIAN,2018
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,KEJADIAN,2018
167,32,JAWA BARAT,3205,KABUPATEN GARUT,6,KEJADIAN,2018
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,KEJADIAN,2018
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,KEJADIAN,2018
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14,KEJADIAN,2018
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,KEJADIAN,2018
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7,KEJADIAN,2018
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13,KEJADIAN,2018
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2018
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,8,KEJADIAN,2018
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,KEJADIAN,2018
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8,KEJADIAN,2018
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2018
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,KEJADIAN,2018
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,KEJADIAN,2018
181,32,JAWA BARAT,3271,KOTA BOGOR,58,KEJADIAN,2018
182,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2018
183,32,JAWA BARAT,3273,KOTA BANDUNG,11,KEJADIAN,2018
184,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2018
185,32,JAWA BARAT,3275,KOTA BEKASI,4,KEJADIAN,2018
186,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2018
187,32,JAWA BARAT,3277,KOTA CIMAHI,19,KEJADIAN,2018
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31,KEJADIAN,2018
189,32,JAWA BARAT,3279,KOTA BANJAR,3,KEJADIAN,2018
